nomor_struk,tgl_transaksi,kode_produk,nama_produk,jumlah_terjual,harga,total_nilai
INV-00001279,05-02-2025,PMTPAK,Pemutih Pakaian 1L,3,31000,93000
INV-00001280,05-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00001280,05-02-2025,STRIKA,Setrika Listrik Standar,3,99500,298500
INV-00001280,05-02-2025,SUFORA,Susu Formula Anak (Box),1,57000,57000
INV-00001281,05-02-2025,CLglass,Pembersih Kaca Cair,1,27500,27500
INV-00001281,05-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00001281,05-02-2025,SPKBT,Speaker Bluetooth Portabel,5,98500,492500
INV-00001282,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001282,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00001282,05-02-2025,DISF1L,Cairan Disinfektan 1L,3,60500,181500
INV-00001283,05-02-2025,KCPMNB,Kecap Manis Botol Besar,3,31500,94500
INV-00001283,05-02-2025,PMTPAK,Pemutih Pakaian 1L,2,31000,62000
INV-00001283,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001283,05-02-2025,PSGIGI,Pasta Gigi Pack Besar,2,23500,47000
INV-00001283,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00001283,05-02-2025,SPONCP,Spons Cuci Piring,2,26500,53000
INV-00001283,05-02-2025,LED15W,Lampu LED Rumah 15W,5,63000,315000
INV-00001283,05-02-2025,PSUDAP,Pisau Dapur Stainless,2,55000,110000
INV-00001283,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001284,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001284,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00001284,05-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00001284,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001284,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001284,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001284,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00001284,05-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00001284,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001284,05-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00001285,05-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00001286,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001286,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001287,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001287,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001287,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00001288,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00001289,05-02-2025,KCPMNB,Kecap Manis Botol Besar,2,31500,63000
INV-00001289,05-02-2025,MARGRN,Margarin Serbaguna,1,18000,18000
INV-00001289,05-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00001289,05-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00001289,05-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00001289,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001289,05-02-2025,KBLCHG,Kabel Data Fast Charge,4,59000,236000
INV-00001289,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001290,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00001290,05-02-2025,PSGIGI,Pasta Gigi Pack Besar,1,23500,23500
INV-00001290,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001290,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001290,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001290,05-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00001290,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001290,05-02-2025,BATAA4,Baterai AA (Isi 4),1,15500,15500
INV-00001290,05-02-2025,DISF1L,Cairan Disinfektan 1L,1,60500,60500
INV-00001291,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),1,16500,16500
INV-00001291,05-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00001291,05-02-2025,MARGRN,Margarin Serbaguna,7,18000,126000
INV-00001291,05-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00001291,05-02-2025,MSWRLS,Mouse Wireless,5,75000,375000
INV-00001291,05-02-2025,WDHMA K,Wadah Penyimpanan Makanan,1,78000,78000
INV-00001291,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001291,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001292,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001292,05-02-2025,MIEIN5,Mi Instan (Isi 5),4,19000,76000
INV-00001292,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001293,05-02-2025,BANTAL,Bantal Tidur Silikon,3,66500,199500
INV-00001293,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001293,05-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00001293,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001293,05-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00001293,05-02-2025,MGR1L,Minyak Goreng Refill 1L,3,17500,52500
INV-00001293,05-02-2025,CPDSNT,Celana Pendek Santai,3,67000,201000
INV-00001293,05-02-2025,BATAA4,Baterai AA (Isi 4),1,15500,15500
INV-00001294,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001294,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001294,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001294,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00001294,05-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00001294,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001294,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001294,05-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00001295,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00001295,05-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00001295,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001295,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001295,05-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00001295,05-02-2025,SCC15L,Sabun Cuci Cair 1.5L,4,35000,140000
INV-00001296,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001296,05-02-2025,MARGRN,Margarin Serbaguna,5,18000,90000
INV-00001296,05-02-2025,RAKP3S,Rak Plastik Susun 3,7,79500,556500
INV-00001296,05-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00001296,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001296,05-02-2025,PSGIGI,Pasta Gigi Pack Besar,2,23500,47000
INV-00001296,05-02-2025,TRMS50,Termos Air Panas 500ml,2,81000,162000
INV-00001296,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001296,05-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00001296,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001297,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001297,05-02-2025,PANTEF,Panci Teflon Kecil,1,81500,81500
INV-00001297,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001297,05-02-2025,BANTAL,Bantal Tidur Silikon,1,66500,66500
INV-00001297,05-02-2025,PSGIGI,Pasta Gigi Pack Besar,3,23500,70500
INV-00001297,05-02-2025,KBLCHG,Kabel Data Fast Charge,1,59000,59000
INV-00001297,05-02-2025,PMTPAK,Pemutih Pakaian 1L,2,31000,62000
INV-00001298,05-02-2025,STRIKA,Setrika Listrik Standar,3,99500,298500
INV-00001298,05-02-2025,DEOSPR,Deodoran Spray,4,49500,198000
INV-00001298,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),4,16500,66000
INV-00001298,05-02-2025,SLCOKA,Selai Coklat Kacang,1,58500,58500
INV-00001298,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00001298,05-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00001298,05-02-2025,CPL2L,Cairan Pembersih Lantai 2L,6,27500,165000
INV-00001298,05-02-2025,SPONCP,Spons Cuci Piring,2,26500,53000
INV-00001298,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001298,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001299,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001299,05-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00001299,05-02-2025,KBLCHG,Kabel Data Fast Charge,2,59000,118000
INV-00001299,05-02-2025,CPL2L,Cairan Pembersih Lantai 2L,6,27500,165000
INV-00001300,05-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00001300,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00001300,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001300,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001300,05-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00001300,05-02-2025,RAKP3S,Rak Plastik Susun 3,1,79500,79500
INV-00001300,05-02-2025,KCPMNB,Kecap Manis Botol Besar,1,31500,31500
INV-00001301,05-02-2025,STRIKA,Setrika Listrik Standar,3,99500,298500
INV-00001302,05-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00001302,05-02-2025,BATAA4,Baterai AA (Isi 4),4,15500,62000
INV-00001302,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001302,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001302,05-02-2025,KSETAS,Keset Kaki Anti-Slip,1,70000,70000
INV-00001302,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00001303,05-02-2025,PSUDAP,Pisau Dapur Stainless,4,55000,220000
INV-00001303,05-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00001303,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001303,05-02-2025,MIEIN5,Mi Instan (Isi 5),3,19000,57000
INV-00001303,05-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00001303,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001303,05-02-2025,KCPMNB,Kecap Manis Botol Besar,1,31500,31500
INV-00001303,05-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00001303,05-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00001304,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001305,05-02-2025,MSWRLS,Mouse Wireless,1,75000,75000
INV-00001305,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001305,05-02-2025,SUFORA,Susu Formula Anak (Box),1,57000,57000
INV-00001305,05-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00001305,05-02-2025,KCPMNB,Kecap Manis Botol Besar,2,31500,63000
INV-00001306,05-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00001307,05-02-2025,CPL2L,Cairan Pembersih Lantai 2L,7,27500,192500
INV-00001307,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,5,32500,162500
INV-00001307,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00001307,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001308,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001308,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001308,05-02-2025,SPONCP,Spons Cuci Piring,3,26500,79500
INV-00001308,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001308,05-02-2025,GRMDAP,Garam Dapur (3 Pack),5,10500,52500
INV-00001308,05-02-2025,BANTAL,Bantal Tidur Silikon,2,66500,133000
INV-00001308,05-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00001308,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00001308,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00001308,05-02-2025,MARGRN,Margarin Serbaguna,4,18000,72000
INV-00001309,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001309,05-02-2025,CPDSNT,Celana Pendek Santai,2,67000,134000
INV-00001309,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001310,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001310,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001311,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001311,05-02-2025,KOSPLN,Kaos Polos Katun,2,53500,107000
INV-00001312,05-02-2025,HDPCON,Headphone Kabel Standar,1,97500,97500
INV-00001312,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001313,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001313,05-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00001313,05-02-2025,MGR1L,Minyak Goreng Refill 1L,2,17500,35000
INV-00001314,05-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00001314,05-02-2025,KCPMNB,Kecap Manis Botol Besar,1,31500,31500
INV-00001314,05-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00001314,05-02-2025,KBLCHG,Kabel Data Fast Charge,9,59000,531000
INV-00001314,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001315,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001316,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001316,05-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00001316,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001316,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001316,05-02-2025,SCC15L,Sabun Cuci Cair 1.5L,4,35000,140000
INV-00001317,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001317,05-02-2025,MIEIN5,Mi Instan (Isi 5),2,19000,38000
INV-00001317,05-02-2025,HDPCON,Headphone Kabel Standar,2,97500,195000
INV-00001318,05-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00001318,05-02-2025,LED15W,Lampu LED Rumah 15W,2,63000,126000
INV-00001318,05-02-2025,SCC15L,Sabun Cuci Cair 1.5L,5,35000,175000
INV-00001319,05-02-2025,BATAA4,Baterai AA (Isi 4),7,15500,108500
INV-00001319,05-02-2025,MGR1L,Minyak Goreng Refill 1L,4,17500,70000
INV-00001319,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001319,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001319,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001319,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00001319,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001320,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001320,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001320,05-02-2025,KSETAS,Keset Kaki Anti-Slip,4,70000,280000
INV-00001320,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001320,05-02-2025,MARGRN,Margarin Serbaguna,4,18000,72000
INV-00001320,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001320,05-02-2025,KCPMNB,Kecap Manis Botol Besar,2,31500,63000
INV-00001320,05-02-2025,BATAA4,Baterai AA (Isi 4),7,15500,108500
INV-00001320,05-02-2025,DEOSPR,Deodoran Spray,7,49500,346500
INV-00001321,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00001321,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001322,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001322,05-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00001322,05-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00001322,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001322,05-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00001322,05-02-2025,KIPASM,Kipas Angin Meja Kecil,3,49500,148500
INV-00001323,05-02-2025,RAKP3S,Rak Plastik Susun 3,1,79500,79500
INV-00001323,05-02-2025,TPTRG1,Tepung Terigu 1kg,3,10500,31500
INV-00001323,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001323,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001323,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001323,05-02-2025,KBLCHG,Kabel Data Fast Charge,6,59000,354000
INV-00001323,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001323,05-02-2025,MSWRLS,Mouse Wireless,1,75000,75000
INV-00001324,05-02-2025,HNDKMD,Handuk Mandi Sedang,3,42000,126000
INV-00001325,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001325,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00001325,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001325,05-02-2025,PYGLPT,Payung Lipat Standar,4,40000,160000
INV-00001325,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001325,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001325,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001325,05-02-2025,MSWRLS,Mouse Wireless,2,75000,150000
INV-00001325,05-02-2025,SCC15L,Sabun Cuci Cair 1.5L,4,35000,140000
INV-00001325,05-02-2025,CPDSNT,Celana Pendek Santai,3,67000,201000
INV-00001326,05-02-2025,KIPASM,Kipas Angin Meja Kecil,3,49500,148500
INV-00001326,05-02-2025,MARGRN,Margarin Serbaguna,3,18000,54000
INV-00001326,05-02-2025,BATAA4,Baterai AA (Isi 4),3,15500,46500
INV-00001326,05-02-2025,GULP2K,Gula Pasir 2kg,2,44500,89000
INV-00001326,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001327,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001327,05-02-2025,SNKKPT,Snack Keripik Kentang,2,20500,41000
INV-00001327,05-02-2025,CPL2L,Cairan Pembersih Lantai 2L,2,27500,55000
INV-00001327,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001327,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001327,05-02-2025,SPKBT,Speaker Bluetooth Portabel,4,98500,394000
INV-00001327,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00001327,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001327,05-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00001328,05-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00001328,05-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00001328,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001328,05-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00001328,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001329,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001329,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001329,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001329,05-02-2025,GRMDAP,Garam Dapur (3 Pack),5,10500,52500
INV-00001329,05-02-2025,PYGLPT,Payung Lipat Standar,1,40000,40000
INV-00001329,05-02-2025,TASBLJ,Tas Belanja Reusable,4,77000,308000
INV-00001329,05-02-2025,DEOSPR,Deodoran Spray,1,49500,49500
INV-00001329,05-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00001329,05-02-2025,MARGRN,Margarin Serbaguna,7,18000,126000
INV-00001330,05-02-2025,TPTRG1,Tepung Terigu 1kg,1,10500,10500
INV-00001330,05-02-2025,DEOSPR,Deodoran Spray,4,49500,198000
INV-00001330,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001330,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001331,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001331,05-02-2025,SUFORA,Susu Formula Anak (Box),2,57000,114000
INV-00001331,05-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00001331,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001331,05-02-2025,KCPMNB,Kecap Manis Botol Besar,1,31500,31500
INV-00001332,05-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00001332,05-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00001332,05-02-2025,BATAA4,Baterai AA (Isi 4),4,15500,62000
INV-00001332,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001332,05-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00001333,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001333,05-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00001333,05-02-2025,MGR1L,Minyak Goreng Refill 1L,4,17500,70000
INV-00001334,05-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00001334,05-02-2025,DISF1L,Cairan Disinfektan 1L,1,60500,60500
INV-00001334,05-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00001334,05-02-2025,SUFORA,Susu Formula Anak (Box),2,57000,114000
INV-00001334,05-02-2025,PSUDAP,Pisau Dapur Stainless,2,55000,110000
INV-00001334,05-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00001334,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001334,05-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00001335,05-02-2025,KSETAS,Keset Kaki Anti-Slip,2,70000,140000
INV-00001335,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001335,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001335,05-02-2025,DISF1L,Cairan Disinfektan 1L,4,60500,242000
INV-00001336,05-02-2025,BATAA4,Baterai AA (Isi 4),6,15500,93000
INV-00001336,05-02-2025,STRIKA,Setrika Listrik Standar,1,99500,99500
INV-00001336,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00001336,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00001336,05-02-2025,CPL2L,Cairan Pembersih Lantai 2L,2,27500,55000
INV-00001336,05-02-2025,HDPCON,Headphone Kabel Standar,1,97500,97500
INV-00001336,05-02-2025,KBLCHG,Kabel Data Fast Charge,6,59000,354000
INV-00001337,05-02-2025,WDHMA K,Wadah Penyimpanan Makanan,5,78000,390000
INV-00001337,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00001337,05-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00001337,05-02-2025,GULP2K,Gula Pasir 2kg,2,44500,89000
INV-00001337,05-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00001337,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001337,05-02-2025,RAKP3S,Rak Plastik Susun 3,2,79500,159000
INV-00001338,05-02-2025,KIPASM,Kipas Angin Meja Kecil,3,49500,148500
INV-00001338,05-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00001338,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00001338,05-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00001338,05-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00001338,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001338,05-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00001338,05-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00001338,05-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00001339,05-02-2025,JASHJN,Jas Hujan Plastik,5,70500,352500
INV-00001340,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),4,16500,66000
INV-00001340,05-02-2025,KCPMNB,Kecap Manis Botol Besar,1,31500,31500
INV-00001340,05-02-2025,MARGRN,Margarin Serbaguna,5,18000,90000
INV-00001340,05-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00001340,05-02-2025,PSGIGI,Pasta Gigi Pack Besar,1,23500,23500
INV-00001340,05-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00001340,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00001341,05-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00001341,05-02-2025,GRMDAP,Garam Dapur (3 Pack),6,10500,63000
INV-00001341,05-02-2025,SPONCP,Spons Cuci Piring,2,26500,53000
INV-00001341,05-02-2025,KBLCHG,Kabel Data Fast Charge,8,59000,472000
INV-00001341,05-02-2025,BTLPLT,Botol Minum Plastik,4,47000,188000
INV-00001341,05-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00001341,05-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00001341,05-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00001341,05-02-2025,MGR1L,Minyak Goreng Refill 1L,1,17500,17500
INV-00001341,05-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00001342,05-02-2025,KCPMNB,Kecap Manis Botol Besar,2,31500,63000
INV-00001342,05-02-2025,SCC15L,Sabun Cuci Cair 1.5L,2,35000,70000
